Postcode,Latitude,Longitude,Easting,Northing,Grid Ref,Postcodes,Active postcodes,Population,Households,Built up area,Nearby Sectors
RG20 5,51.3375,-1.25892,451721,160084,SU517600,131,100,3033,1363,Kingsclere,"RG15 8, RG20 4, RG19 8, RG13 4, RG18 3, RG13 3, RG19 3, RG19 4, RG19 6, RG18 4"
RG20 6,51.5036,-1.25717,451656,178558,SU516785,60,46,1442,557,Compton (West Berkshire),"RG16 0, RG18 9, RG18 0, RG20 7, RG16 9, RG18 3, RG13 4, RG13 3, OX11 0, RG19 3"
RG20 7,51.505,-1.33125,446512,178664,SU465786,154,126,2092,809,East Ilsley,"RG16 0, RG20 6, RG14 3, RG20 8, RG16 8, RG13 1, RG14 1, RG14 2, RG14 5, RG13 2"
RG20 8,51.4457,-1.35814,444704,172052,SU447720,281,224,4039,1603,Newbury,"RG16 8, RG14 3, RG13 1, RG14 1, RG14 6, RG14 2, RG14 5, RG20 7, RG13 2, RG16 9"
RG20 9,51.3524,-1.35147,445259,161680,SU452616,322,246,5364,1992,Woolton Hill and Highclere,"RG15 9, RG14 6, RG20 0, RG20 4, RG14 7, RG14 9, RG14 1, RG13 1, RG14 5, RG14 2"
RG21 1,51.2633,-1.09194,463455,151963,SU634519,365,0,,,Basingstoke,"RG21 7, RG21 8, RG21 3, RG21 2, RG21 4, RG21 5, RG21 6, RG24 4, RG24 9, RG22 6"
RG21 2,51.2708,-1.08677,463805,152801,SU638528,342,0,,,Basingstoke,"RG21 4, RG21 5, RG21 7, RG21 1, RG21 3, RG21 6, RG21 8, RG24 4, RG24 9, RG24 8"
RG21 3,51.2576,-1.08861,463695,151332,SU636513,251,173,7613,3290,Basingstoke,"RG21 1, RG21 7, RG21 2, RG21 4, RG21 5, RG21 8, RG21 6, RG22 6, RG24 4, RG24 9"
RG21 4,51.2696,-1.08417,463988,152670,SU639526,222,117,3257,1424,Basingstoke,"RG21 2, RG21 5, RG21 7, RG21 1, RG21 3, RG21 8, RG21 6, RG24 4, RG24 9, RG24 8"
RG21 5,51.2743,-1.08877,463661,153189,SU636531,182,152,7748,3082,Basingstoke,"RG21 2, RG21 4, RG21 7, RG21 1, RG24 4, RG21 6, RG21 3, RG21 8, RG24 9, RG24 8"
RG21 6,51.2723,-1.10248,462707,152955,SU627529,107,56,466,233,Basingstoke,"RG24 4, RG21 8, RG24 9, RG21 5, RG21 7, RG21 2, RG21 1, RG21 4, RG23 8, RG22 6"
RG21 7,51.2666,-1.09184,463457,152330,SU634523,297,163,3819,1929,Basingstoke,"RG21 1, RG21 2, RG21 8, RG21 4, RG21 5, RG21 3, RG21 6, RG24 4, RG24 9, RG22 6"
RG21 8,51.2646,-1.09927,462942,152101,SU629521,141,100,3921,1707,Basingstoke,"RG21 1, RG21 7, RG21 6, RG24 4, RG21 3, RG21 2, RG21 4, RG21 5, RG24 9, RG22 6"
RG22 4,51.2467,-1.11819,461645,150094,SU616500,391,293,21068,8239,Basingstoke,"RG22 6, RG22 5, RG23 8, RG21 8, RG21 3, RG21 6, RG24 4, RG21 1, RG21 7, RG25 2"
RG22 5,51.2529,-1.13479,460479,150770,SU604507,321,248,10882,4259,Basingstoke,"RG22 4, RG22 6, RG23 8, RG23 7, RG21 8, RG21 3, RG21 6, RG24 4, RG21 1, RG21 7"
RG22 6,51.2583,-1.11653,461746,151386,SU617513,310,237,10036,4509,Basingstoke,"RG22 4, RG23 8, RG21 8, RG22 5, RG21 6, RG21 3, RG24 4, RG21 1, RG21 7, RG24 9"
RG23 7,51.2444,-1.16372,458470,149801,SU584498,290,243,5281,2193,Oakley (Basingstoke and Deane),"RG22 5, RG22 4, RG22 6, RG23 8, RG21 8, RG21 3, RG21 6, RG24 4, RG21 1, RG25 2"
RG23 8,51.2707,-1.12581,461082,152757,SU610527,211,167,6833,2754,Basingstoke,"RG22 6, RG21 6, RG24 4, RG22 5, RG22 4, RG21 8, RG21 7, RG24 9, RG21 2, RG21 5"
RG24 0,51.2799,-1.05552,465972,153841,SU659538,392,0,,,Basingstoke,"RG24 7, RG24 8, RG21 5, RG21 4, RG21 2, RG24 9, RG21 7, RG21 1, RG24 4, RG21 6"
RG24 4,51.2745,-1.10336,462643,153199,SU626531,397,144,,,Basingstoke,"RG21 6, RG24 9, RG21 8, RG21 5, RG21 7, RG21 2, RG21 1, RG21 4, RG23 8, RG22 6"
RG24 7,51.2701,-1.04823,466495,152758,SU664527,161,119,4070,1735,Old Basing,"RG24 0, RG24 8, RG21 4, RG21 2, RG21 5, RG21 7, RG21 1, RG21 3, RG21 6, RG21 8"
RG24 8,51.286,-1.06729,465143,154509,SU651545,386,274,11464,4766,Basingstoke,"RG24 0, RG21 5, RG21 4, RG21 2, RG24 9, RG24 7, RG21 7, RG21 1, RG24 4, RG21 6"
RG24 9,51.2839,-1.10014,462855,154247,SU628542,385,369,15954,6447,Basingstoke,"RG24 4, RG21 6, RG21 8, RG21 5, RG21 7, RG21 2, RG21 1, RG21 4, RG24 8, RG21 3"
